,filename,id,sex,weight,height,complete,area,area_weighted,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance
206,7a6744e62fb8423e8e0cce64d6e3fbfb,0238,1,25.8,1.4425086669921876,True,64028.0,317815.9278739643,500.50518798828125,200.96092224121094,59.42604692604693,0.9158519375389458,2273.405317425728,518,208,NEW,0.7018779703769783,0.7023086269744836,89.38536834716797,235.93431289238112
207,3b161bfbeb064ac98371ebbea41ad305,0236,0,25.5,1.3148756103515624,False,,,,,,,,,,NEW,,,,
208,e42e8650fbc64543a23cc188961efb23,0230,0,25.5,1.3124869384765625,True,69379.5,315157.76599237963,525.7166137695312,189.2864227294922,43.79023706733318,0.9329314253380575,1747.7169371843338,486,326,NEW,0.7500534652618372,0.8606909137569683,62.62338638305664,231.07790893982056
209,eef5b970f08142a2a1e5144bbabb6b2d,0236,0,25.5,1.32663427734375,False,,,,,,,,,,NEW,,,,
210,c5b7c489837b4e1e823b3187f99200c0,0236,0,25.5,1.225992919921875,False,,,,,,,,,,NEW,,,,
211,80bcdfa253704e25a97258c838580c49,0239,1,22.8,1.345027099609375,True,76731.0,281203.3629142911,565.6096801757812,228.4123992919922,37.45460402999063,0.9148322957899586,1896.209359884262,582,352,NEW,0.577228118592265,0.8493867918445249,118.03667449951172,279.3027031734566
212,861ea840feba45129874562d8cb8fcac,0238,1,25.8,1.4255474853515624,True,63512.0,346610.88446108013,519.2471923828125,184.76683044433594,38.18134817816199,0.9345484255044836,1620.7880063056946,397,419,NEW,0.7470525020636379,0.7864251561356238,39.445396423339844,289.6894889359985
213,e27f96ef11d74619b20e732f93eebaf6,0253,1,21.8,1.3105699462890625,True,89276.0,297856.8688168006,663.1634521484375,199.18533325195312,37.68923562737996,0.9538270712006175,1918.6946414709091,582,407,NEW,0.8096961086816578,0.7787298275211436,57.63318634033203,302.0595967685847
214,8ec08a25eb0f4e629c151e3152de6dd1,0253,1,21.8,1.323931640625,True,89111.5,295079.81435403513,557.575439453125,249.7045135498047,41.98362331745606,0.8941137784771318,1871.5159291028976,509,417,NEW,0.624129878794618,0.8191482263983098,53.075279235839844,260.9233603953467
215,b0dc5e0ae7d54ec380db12061723948b,0268,1,24.5,1.399269775390625,True,84902.0,353728.5709274642,592.6564331054688,223.76077270507812,53.607192918208334,0.9259869041184204,2173.4398078918457,626,253,NEW,0.9289990449346596,0.7949171888467004,92.09545135498047,250.50349298961882
216,7a6d43e81b16427387c39e460579565f,0268,1,24.5,1.41862744140625,True,71508.5,367116.4919919413,604.0256958007812,180.07232666015625,60.61686219991862,0.9545283032850815,1643.869179368019,584,202,NEW,0.8357349500989715,0.8215051977354207,88.39030456542969,189.5521036549054
