;Unnamed: 0;filename;id;sex;weight;height;complete;area;area_cc;mayor_axis;minor_axis;percent_area;eccentricity;predicted_weight;difference;perimeter;width_bbox;height_bbox;mask_method;symmetry;symmetry_v;orientation;distance;area_bb;good;augmented;train_set;train
258;259;91655426598e4cbbab1da7e560a82c06;0239;1;22,8;1,361867431640625;True;78046,0;355848,74424179894;623,8280029296875;208,0972595214844;0,3895794023979953;0,942721390272802;23,766000000000016;0,9660000000000153;1822,7880045175552;579,0;346,0;NEW;0,7060703685852718;0,7572867253494331;70,65070343017578;305,766250590218;200334,0;Selected;False;True;False
259;260;062e8accd114400ca7ae66e064e425cb;0230;0;25,5;1,3096234130859374;True;70535,5;324943,7591034703;533,2527465820312;189,0482635498047;0,44116396159739807;0,935048787309285;24,686;0,8140000000000001;1733,9179474115372;495,0;323,0;NEW;0,7590298915711661;0,8655229972927859;63,41991424560547;233,9401632896754;159885,0;Selected;False;True;False
260;261;54b3b235e54b44b99552116a1842ce58;0253;1;21,8;1,3394423828125;True;87667,5;289995,80933153845;664,4998779296875;205,41197204589844;0,37050224412343935;0,9510221758811944;22,534000000000013;0,7340000000000124;1973,7900961637497;613,0;386,0;NEW;0,9168851125372864;0,8186070686070686;65,49201965332031;317,56889016400834;236618,0;Selected;False;True;False
269;270;803b11141432471f9f7d2511c42d8e8b;0253;1;21,8;1,307683349609375;True;90143,0;301941,72039297386;656,9650268554688;205,3197784423828;0,3748960274154911;0,9499086417025072;23,108000000000008;1,308000000000007;1929,0377880334852;578,0;416,0;NEW;0,8309021556320146;0,7835464048982643;57,00204086303711;313,12936623702353;240448,0;Selected;False;True;False
272;273;21de7d3d88c940c09600c61b7a68e3fa;0234;1;24,6;1,380966796875;True;66000,0;358677,50067991094;570,4548950195312;177,65390014648438;0,6126085987970594;0,9502707437024608;24,117000000000008;0,48299999999999343;1631,935194730759;536,0;201,0;NEW;0,8337205642078755;0,8308725435822104;88,646240234375;253,6217656274792;107736,0;Selected;False;True;False
273;274;82573126a17a4416a3c041a16f80238f;0241;0;25,5;1,29188330078125;True;75355,0;336976,9446734102;616,534423828125;189,4788360595703;0,5917157440125638;0,951603361396606;24,584999999999994;0,9150000000000063;1729,5087884664536;566,0;225,0;NEW;0,8932911209489904;0,8065630624121488;85,77317810058594;260,0480724789169;127350,0;Selected;False;True;False
300;301;9ae3e05a6be2450b9db039847acf8a91;0234;1;24,6;1,37459619140625;True;77721,5;350961,25839783414;625,1256713867188;191,70364379882807;0,5812995968676844;0,9518177809723704;24,871999999999993;0,27199999999999136;1845,9423336982727;589,0;227,0;NEW;0,8922199156913437;0,8218947797404516;88,33818054199219;259,6709456215693;133703,0;Selected;False;True;False
301;302;05ab0076556c4b998250e3ecf8cb9cd5;0233;0;24,2;1,354306884765625;True;73644,0;339737,7453239416;642,78173828125;180,5906219482422;0,3310735479230354;0,9597219088876536;24,549000000000007;0,3490000000000073;1868,1260981559756;536,0;415,0;NEW;0,8717914276887534;0,8197558059879918;123,77892303466795;244,2478249647272;222440,0;Selected;False;True;False
314;315;24f4802eaa174e66b19dee40ba2106f8;TA977;0;16,8;1,2365531005859376;True;93162,0;238397,2265828548;647,7529296875;220,8549346923828;0,38178644023342734;0,9400794305709188;17,921000000000006;1,1210000000000058;1999,0032970905304;604,0;404,0;NEW;0,6988554165602927;0,8712024508552464;124,04043579101562;331,602171283603;244016,0;Selected;False;True;False
336;337;2a362c88066b491da8d1e7233cefc950;TA977;0;16,8;1,2141044921875;True;99624,0;235805,36997934236;672,1746215820312;224,9013214111328;0,38346420323325636;0,9423646375241737;17,583000000000006;0,7830000000000048;1895,4641922712328;600,0;433,0;NEW;0,7376952872178355;0,8922323233329018;127,28166198730467;321,7716581677137;259800,0;Selected;False;True;False
343;344;2824976e58654032adb56739e4f1ffcb;TA433;0;17,7;1,24404443359375;True;96923,0;240017,47412372983;690,760986328125;213,89700317382807;0,3750512719308429;0,950849257237176;17,973000000000003;0,27300000000000324;2024,6601506471636;586,0;441,0;NEW;0,934803284891748;0,8365428866548716;56,67559814453125;276,4868893817571;258426,0;Selected;False;True;False
346;347;e04708c777104750ae47f15fbf0c98ad;TA433;0;17,7;1,2459036865234374;True;97801,5;235595,3066605581;696,3775634765625;212,9283142089844;0,3771634504141793;0,952106815684347;17,285000000000004;0,4149999999999956;2017,5890817642207;588,0;441,0;NEW;0,93412530281683;0,8454544533079255;56,8200569152832;281,44271175498574;259308,0;Selected;False;True;False
365;366;6945f361d7054e39874cf8f4cc71c5ca;TA433;0;17,7;1,243786376953125;True;96923,0;250596,3965679675;690,760986328125;213,89700317382807;0,3750512719308429;0,950849257237176;18,582000000000008;0,8820000000000086;2024,6601506471636;586,0;441,0;NEW;0,934803284891748;0,8365428866548716;56,67559814453125;276,4868893817571;258426,0;Selected;False;True;False
401;402;c14dc8dba23246abbceeca8b0a1e5459;TA977;0;16,8;1,2227344970703125;True;95106,5;231788,1206367512;663,1163940429688;220,59625244140625;0,3822393434453046;0,9430447276931384;17,280000000000005;0,480000000000004;1995,2459371089933;601,0;414,0;NEW;0,7229181865554977;0,8912975508077123;124,83704376220705;315,9050490258109;248814,0;Selected;False;True;False
426;427;918d62ec58404870b3946ee08dd3cb86;TA977;0;16,8;1,292963623046875;True;62307,5;219821,5728323857;540,2720336914062;194,41212463378903;0,4554641812865497;0,9330135728712448;17,737;0,9369999999999976;2195,7068351507187;570,0;240,0;NEW;0,6646960260503936;0,6381397995637191;98,8096160888672;388,5614494516923;136800,0;Selected;False;True;False
445;446;c34ecfcf94504e6082bfbf9230b7e57c;TA433;0;17,7;1,243786376953125;True;96677,0;240549,32008107717;688,6423950195312;206,402099609375;0,38077251798957845;0,9540262080865376;17,695000000000004;0,0049999999999954525;2021,3464452028277;581,0;437,0;NEW;0,9299841082688266;0,8527605474957708;56,66671371459961;267,34621747838514;253897,0;Selected;False;True;False
451;452;f5f556024fa2471ab8793f53ec47f3ae;TA433;0;17,7;1,24404443359375;True;96923,0;240017,47412372983;690,760986328125;213,89700317382807;0,3750512719308429;0,950849257237176;17,973000000000003;0,27300000000000324;2024,6601506471636;586,0;441,0;NEW;0,934803284891748;0,8365428866548716;56,67559814453125;276,4868893817571;258426,0;Selected;False;True;False
526;527;c8e0f05877494874939f3e5dfa6138dc;TA433;0;17,7;1,2447259521484375;True;96677,0;247616,91470764863;688,6423950195312;206,402099609375;0,38077251798957845;0,9540262080865376;18,355000000000008;0,6550000000000082;2021,3464452028277;581,0;437,0;NEW;0,9299841082688266;0,8527605474957708;56,66671371459961;267,34621747838514;253897,0;Selected;False;True;False
582;583;a27af4038a1c438b8cdc4f96d0a04c23;TA433;0;17,7;1,2459036865234374;True;97801,5;235595,3066605581;696,3775634765625;212,9283142089844;0,3771634504141793;0,952106815684347;17,285000000000004;0,4149999999999956;2017,5890817642207;588,0;441,0;NEW;0,93412530281683;0,8454544533079255;56,8200569152832;281,44271175498574;259308,0;Selected;False;True;False
583;584;2435159dfca946dd85468291f33a8570;TA433;0;17,7;1,243443359375;True;97801,5;244141,5041780604;696,3775634765625;212,9283142089844;0,3771634504141793;0,952106815684347;17,849000000000004;0,14900000000000446;2017,5890817642207;588,0;441,0;NEW;0,93412530281683;0,8454544533079255;56,8200569152832;281,44271175498574;259308,0;Selected;False;True;False
626;627;34d24b70ea7f42dfabd6e45cc8117b50;TA5854;1;24,0;1,435654541015625;True;82525,0;321994,9423357251;497,7745971679688;246,59442138671875;0,6248769554616631;0,8686685434334275;24,654;0,6539999999999999;1689,9007049798963;506,0;261,0;NEW;0,6967207207207207;0,8808648648648648;89,40904998779297;102,08329931972224;132066,0;Selected;False;True;False
646;647;4b838b26e5104c57847e520550443f7d;TA433;0;17,7;1,243786376953125;True;96677,0;240549,32008107717;688,6423950195312;206,402099609375;0,38077251798957845;0,9540262080865376;17,695000000000004;0,0049999999999954525;2021,3464452028277;581,0;437,0;NEW;0,9299841082688266;0,8527605474957708;56,66671371459961;267,34621747838514;253897,0;Selected;False;True;False
681;682;2383c965911041e7be57b7d7ce833fb9;TA433;0;17,7;1,24404443359375;True;97257,0;247456,5958571397;693,8699951171875;212,7300262451172;0,3746446428709004;0,9518433335536048;18,184000000000005;0,4840000000000053;2017,3464424610136;586,0;443,0;NEW;0,9354519788407244;0,8433948610275906;56,92059326171875;276,4868893817571;259598,0;Selected;False;True;False
699;700;3c6200676fea417e93795de0b081999d;TA977;0;16,8;1,217581298828125;True;97726,0;231830,4525681652;671,596923828125;223,57711791992188;0,3782917529564325;0,9429608208215926;16,966000000000005;0,16600000000000392;1881,3220573663712;605,0;427,0;NEW;0,7369222337251081;0,8942411140206646;126,04739379882812;317,5106297433206;258335,0;Selected;False;True;False
759;760;a4200985fce64f07a410147b172138fc;TA433;0;17,7;1,243786376953125;True;96677,0;240549,32008107717;688,6423950195312;206,402099609375;0,38077251798957845;0,9540262080865376;17,695000000000004;0,0049999999999954525;2021,3464452028277;581,0;437,0;NEW;0,9299841082688266;0,8527605474957708;56,66671371459961;267,34621747838514;253897,0;Selected;False;True;False
804;805;0a4fb238f90a4c7a840512d3fadb04f9;TA433;0;17,7;1,24404443359375;True;97257,0;247456,5958571397;693,8699951171875;212,7300262451172;0,3746446428709004;0,9518433335536048;18,184000000000005;0,4840000000000053;2017,3464424610136;586,0;443,0;NEW;0,9354519788407244;0,8433948610275906;56,92059326171875;276,4868893817571;259598,0;Selected;False;True;False
809;810;f8cac2afc36a41d9a4e6339b0c6e920f;TA433;0;17,7;1,243786376953125;True;96923,0;250596,3965679675;690,760986328125;213,89700317382807;0,3750512719308429;0,950849257237176;18,582000000000008;0,8820000000000086;2024,6601506471636;586,0;441,0;NEW;0,934803284891748;0,8365428866548716;56,67559814453125;276,4868893817571;258426,0;Selected;False;True;False
824;825;7eab6181063e42e48e65d642c3ccb156;TA433;0;17,7;1,24404443359375;True;97257,0;247456,5958571397;693,8699951171875;212,7300262451172;0,3746446428709004;0,9518433335536048;18,184000000000005;0,4840000000000053;2017,3464424610136;586,0;443,0;NEW;0,9354519788407244;0,8433948610275906;56,92059326171875;276,4868893817571;259598,0;Selected;False;True;False
