,uuid,id,sex,area,width,height,MA,ma,per_area,eccentricity,perimeter,symmetry,weight,mask_method
1062,31ee4260ac6f442e93837a3474ce61f7,TA0477,1,165752.6650467123,447,324,409.5760192871094,328.2505187988281,36.6370826762509,0.5980754662647921,1778.7636232376099,0.3641663235899547,16.1,Gray_opening
1063,7d0981ff0a0d4ec1ab266cf4b930c4c5,TA433,0,237772.5560329171,615,387,687.3536376953125,202.06488037109375,31.051956872058867,0.9558130666322596,2226.58699798584,0.200881620136715,17.7,Gray_opening
1064,c8bf7fd8cd284bcda8482c54e1799d67,TA332,1,243470.68467376026,477,383,528.763427734375,219.8988494873047,37.41595158811475,0.9094223401186745,1940.947388768196,0.2895063119927863,20.4,LAB_closing
1065,1f59eb05a9ad4ac5818ac212b6f37270,TA5751,1,317532.05280158634,599,349,618.8630981445312,275.21710205078125,49.34328496164156,0.8956726143042631,2025.1900293827057,0.29825767144661564,26.8,LAB_closing
1066,83fdb36dd9ab43298eec414ef66c3c70,TA0432,0,191113.0868547441,425,391,497.72174072265625,218.8585205078125,38.83818633879457,0.8981346013002366,1595.727045416832,0.2474797092030289,14.3,Gray_opening
1067,bb4d9a8e81964439928b52d908afddd3,TA0154,1,300827.36032394494,585,272,627.4324340820312,191.64639282226562,46.50735294117647,0.9522095707907868,1884.5971026420593,0.3573926230432766,22.9,LAB_opening
1068,fc6e6bd49b194d059921a92b0af27dd8,TA0477,1,102647.99197783823,445,348,501.7886047363281,161.87655639648438,27.38077233313168,0.9465356915531007,1804.1950817108154,0.10904489685247531,16.1,Gray_opening
1069,63624d260f534dd5b926bc0c1a4e8a45,TA5751,1,269285.66174686694,714,252,693.33642578125,245.84425354003906,58.77250768555116,0.9350251208113893,1988.8296386003494,0.2842187104473294,26.8,LAB_closing
1070,a4c3ba0dc7f847608b30f1b668d39168,TA0441,1,216526.9208169922,514,413,638.0939331054688,180.35731506347656,35.74070854162139,0.9592230814723446,1840.8052533864975,0.3448184500511832,13.5,LAB_opening
1071,ab31c915feb8493abd457ad8ad36cd54,TA5751,1,284102.2480096974,612,340,605.1398315429688,306.1859130859375,53.61276877900919,0.862547865185495,1988.9301438331604,0.2912995836072759,26.8,LAB_closing
1072,2fd7d5d90ca04181b0aa09f5cacce78a,TA0440,1,218053.93635560048,645,321,686.5079956054688,218.48712158203125,43.77155032955249,0.9480039129720814,1979.4082847833633,0.2872386053372109,16.0,LAB_closing
1073,2e47ce0453524789b4c23ef1ce44579d,TA977,0,218371.14671191684,600,227,565.4799194335938,197.33480834960938,52.26431718061674,0.9371343696004075,2062.361602306366,0.23357279560646826,16.8,LAB_closing
1074,50cb443a2da04b2aad9047189a3b230c,CG1741,0,273325.443929133,717,240,741.322265625,218.75534057617188,56.491452058169685,0.9554700642665117,2085.474300146103,0.21952225670844303,27.2,LAB_closing
1075,b9588f3b160443b7aa0c93cc9ef0e327,TA433,0,214802.72409389014,566,428,651.0599975585938,193.32559204101562,34.840122519071365,0.9548962172208281,2307.280429959297,0.3136883019574787,17.7,Gray_opening
1076,00d89e79e55b4498acf9e13a6546d802,TA5751,1,274050.4399982227,663,286,649.103759765625,275.7978515625,59.112860233936466,0.9052448756448297,1997.4154250621796,0.2845336585280261,26.8,LAB_closing
1077,5d6c68f35067466991f49d4b7b17ed3a,TA5751,1,275257.1473918156,719,255,697.7979736328125,250.2786102294922,59.1398691991057,0.9334647484329763,2040.2438521385193,0.2961898419152441,26.8,LAB_closing
1078,2c1b3633b0b1403a9b47e392df2d4069,TA0432,0,185057.75296512508,431,370,493.11846923828125,219.62535095214844,40.42042042042042,0.8953413925434979,1581.8519358634949,0.27364251526654565,14.3,Gray_opening
1079,eb70b7b7872241a994cebff43cea604f,TA0432,0,108508.76915341982,401,179,387.11029052734375,165.82781982421875,59.82770064715969,0.9036017256391208,1207.4112491607666,0.48909173893199454,14.3,Gray_opening
1080,5567beb5eaa749a8ade2870dd9834cde,TA433,0,258609.1600270443,618,382,697.8199462890625,207.5258026123047,33.54495272839992,0.9547555843189385,1903.0895241498947,0.2580410557184751,17.7,LAB_opening
1081,4a81c7c4ee9f4dfb8e38ec561cba7931,TA0427,0,232313.40579647233,564,344,549.77685546875,279.7488098144531,46.330190745460335,0.8608607308173202,1958.8296386003494,0.3017799352750809,18.9,LAB_opening
1082,e731e816e1bf4e39b9f2fb5865aa4cb8,TA433,0,201376.89971957743,526,316,448.74786376953125,251.17633056640625,34.807720075083026,0.8286770167585367,2171.959581375122,0.166454179203427,17.7,LAB_closing
1083,57f86cefa64d40528250cf9212bb0aea,TA332,1,238637.72301565297,574,304,600.3571166992188,173.53179931640625,36.61011188216966,0.9573147183245514,1938.4204773902893,0.3165320425707349,20.4,Gray_opening
1084,4b74bf3d7f0344f38cef52d6c1f82b83,TA5751,1,283083.49350947497,636,317,620.5438232421875,292.8284606933594,55.399883677372294,0.8816574012810562,1997.1139093637466,0.28598165493983563,26.8,LAB_closing
1085,3aaff5d363d24733bb8344cf43640f8e,TA0427,0,229327.84614034306,439,415,523.8399047851562,250.94918823242188,42.586923580964864,0.8777837794003239,1871.7341856956482,0.3193011270991776,18.9,Gray_opening
1086,92de982c81f84d6ba46f814c7188c87e,TA0440,1,198817.81685308905,643,355,702.0153198242188,210.3839111328125,38.347835159102765,0.9540380058267043,1956.0184564590454,0.3228797205661984,16.0,LAB_closing
1087,bc008e890d5a4e80801655b77a4d5198,CG1741,0,227909.95696004,513,401,552.3237915039062,233.045166015625,40.915091125872934,0.9066257239392532,2094.770763516426,0.33281464530892446,27.2,LAB_closing
1088,0a014eba2b504075b5cd3b538ec39eec,TA5751,1,283406.8741384009,634,309,623.731201171875,288.1922912597656,56.84129123150899,0.8868561399052695,1981.6580656766891,0.2856888271093409,26.8,LAB_closing
1089,801f7fa973974e56b6a4b3167f62c84c,TA0477,1,102647.99197783823,445,348,501.7886047363281,161.87655639648438,27.38077233313168,0.9465356915531007,1804.1950817108154,0.10904489685247531,16.1,Gray_opening
1090,6a03f7b3551c44deaa53ff2c3841c71b,TA0477,1,166301.64200027406,466,377,480.54595947265625,300.1991882324219,33.717566077814524,0.7808613058393179,2149.859076142311,0.15190549498884665,16.1,Gray_opening
1091,4154973305194675a1f721ebf5cdded6,TA332,1,178964.59076698794,393,223,398.8022155761719,194.12344360351562,65.87846527179808,0.8735322863907724,1193.87928545475,0.552002556813403,20.4,Gray_opening
