Unnamed: 0,filename,id,sex,weight,height,complete,area,area_cc,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance,area_bb,good,augmented,train_set,train
16,5c90bd59cfd74b4f8c8d8f6fd135f512,0273,1,22.5,1.385045654296875,True,79598.0,297143.9919807031,640.0272827148438,186.89393615722656,0.5349327956989247,0.9564154708499382,1869.1900287866592,600.0,248.0,NEW,0.7787324521592082,0.8913121868122303,100.03048706054688,237.6930794112441,148800.0,Selected,False,True,False
18,9782bca62cac4398b4c57107914af733,0239,1,22.8,1.3473233642578124,True,74573.0,282171.6829197474,559.9127197265625,225.3282012939453,0.375947771728171,0.915448777784446,1866.4103717803955,580.0,342.0,NEW,0.5814814323431468,0.8438830881084739,116.88458251953124,276.4434842784326,198360.0,Selected,False,True,False
19,7b85ce2504aa488d8fbcc05dd3fc4172,0238,1,25.8,1.4688887939453126,True,58038.5,317229.9479209638,533.7923583984375,172.6558837890625,0.5340507563767529,0.9462447854931842,1799.917948961258,538.0,202.0,NEW,0.8261512570758325,0.7404083159093614,92.66521453857422,212.1320343559643,108676.0,Discarded,False,True,True
20,a66287dd926d4b1d98698fd380a06c28,0238,1,25.8,1.5308160400390625,True,52311.5,313909.161910267,486.4685668945313,180.00328063964844,0.3404809945326738,0.929023639885838,2449.0104361772537,460.0,334.0,NEW,0.8001574153892282,0.6758367377534575,117.68635559082033,153.70751445521458,153640.0,Discarded,False,True,True
21,5159eacc4d8243e0804c7fc2e978d8fc,0236,0,25.5,1.3701990966796875,True,76314.5,324366.3935703329,678.880126953125,168.1177978515625,0.4053417396107759,0.9688521488959824,1938.9372833967209,574.0,328.0,NEW,0.8839084333601224,0.819225883389936,110.98030090332033,297.7247050548543,188272.0,Selected,False,True,True
22,8e5192086ad2413b99aed27ed75843fc,0239,1,22.8,1.346818115234375,True,74823.0,280828.5658724307,562.612548828125,223.44924926757807,0.3748159057437408,0.917747809037498,1893.037787914276,582.0,343.0,NEW,0.5806724577895892,0.8488093821480042,116.84518432617188,276.9440376682625,199626.0,Selected,False,True,False
29,25aa915dcf8741fb80541b88feeebfbe,0271,1,20.5,1.3547735595703123,True,68972.0,269173.5657909979,552.1600341796875,191.5137176513672,0.6282461174113039,0.9379226163065874,1924.98901617527,563.0,195.0,NEW,0.7582423877860847,0.7964538397639712,93.45886993408205,206.48002324680223,109785.0,Selected,False,True,True
30,706ab366ce8d422fa8a83a3c49f42a08,0271,1,20.5,1.35334423828125,True,68591.5,268877.6838311056,544.0636596679688,191.9099273681641,0.6215925979628085,0.9357235149668528,1965.5159282684328,563.0,196.0,NEW,0.7659703125674878,0.7869905121154095,93.5637664794922,207.19314660480447,110348.0,Selected,False,True,True
32,f31cb09d47a246eb9a02530d7fab1856,0267,0,20.1,1.2488668212890626,True,100022.5,347875.64800183283,646.862548828125,235.51095581054688,0.5459862660756785,0.9313669302921824,2083.5403131246567,676.0,271.0,NEW,0.7522068658047258,0.7899341160152573,84.32130432128906,269.1337957224993,183196.0,Selected,False,True,True
36,58de9c20e52f4fa393f8f06f1b6a5dd9,0238,1,25.8,1.357189453125,True,93810.5,390706.5907151846,674.5416870117188,204.2644805908203,0.4617067456762902,0.9530478775291356,1936.4276146888733,631.0,322.0,NEW,0.8667145603989266,0.7310626069685381,108.65052032470705,211.94574777522664,203182.0,Selected,False,True,True
37,fb60337f16e048829886f42d9b3268ea,0265,1,23.4,1.3508411865234375,True,60259.0,240621.5525859341,421.5956115722656,185.62278747558597,0.6768088595368061,0.8978574171505461,1297.200132727623,418.0,213.0,NEW,0.9616453219787264,0.9279103029904484,76.44348907470703,221.93016919743025,89034.0,Discarded,False,True,False
38,8ca1aace84d14e78a8df7858226d47d2,0253,1,21.8,1.296688720703125,True,95662.5,287499.9869252069,694.6055297851562,199.55149841308597,0.3822830083120205,0.9578443935159682,2017.3636857271197,640.0,391.0,NEW,0.7813772312409999,0.8380867529292322,61.8872184753418,289.9275771636772,250240.0,Selected,False,True,False
