,uuid,gray_n,r_n,g_n,b_n
2037,6f8417321f5c4fe5ad3669949cc3ed0b,1.1127966345697007,1.1797133223516798,1.1260719103481645,1.150912689032457
2038,86269c8f14694ccc8c01c56a8fbb37fd,0.8690326115107583,0.9380454498417259,0.8815248009826012,0.9086456211955375
2039,a6bc976368c943fc9197b641fdaa0503,0.6475214631808515,0.7141612813979568,0.6564629037927272,0.6853472178386469
2040,22c4d8ab4c414d65a6da3ae2d49792f4,1.0704634847195755,1.1395011173399348,1.0878277520568842,1.1187142049711822
2041,07620183a4ec4c62bd4419a9315795a5,1.163862539762655,1.231157340457857,1.1810914716037009,1.2100842606657092
2042,844fb9a4850a41679d0f1a87a393f04f,1.0463396742368591,1.1143648733737246,1.062497286157106,1.0936988331657567
2043,b14506df695046dd9f8558f0bc1d9e4b,1.2327875649853604,1.3034967459488758,1.2437332106563972,1.2742611794699072
2044,b4160321af0042a08676eb79815ef277,1.2412434507633157,1.30374262265201,1.258029184681485,1.2843080321504956
2045,bd6fd09ac88e4fd68960e1e071d2dd80,0.96230046343914,1.0461382206355516,0.9773072070934562,1.0163261869282265
2046,64594c6ecb644d098ac20f617d276615,0.5697851673655766,0.6303080277706754,0.5787049129742347,0.603570485947919
2047,26db7ea53f6c4c9a9032e102afb1cf6a,1.075217789710431,1.1416199959875324,1.0867151083204325,1.114107632621286
2048,baefb17fbfff4940a066c3d0595083b9,1.1532970731956238,1.219994744754643,1.1695497298918722,1.199798762949726
2049,870ba57fab96451dba4e176995633ae3,0.9548570111446784,1.0267377222819507,0.966760336243469,1.003874288176645
2050,6244da9895b14d7fa39d73e4a4740e6a,1.045461543154237,1.1308778701085858,1.0607937118568191,1.0965036871531908
2051,fd0891b47f0f463db630cc57b37cb27f,1.0352576599741679,1.1051517286739316,1.0501817559971787,1.0844867215613552
2052,6b797abb55f54a5fb1e47b856f5e916b,0.8916160767650164,0.9597673135396231,0.9031950099109324,0.9342302285615807
2053,a50d537c137e474da89abc54b0dfbad1,0.7997077783716119,0.8699035109256411,0.8108094214467381,0.846032808813798
2054,c54712db447a4e8497fc833f39c5aba1,0.826208741349756,0.890504466123956,0.8404385972697995,0.8642483467535547
