,uuid,id,sex,weight,predicted_weight,difference,area,width,height,MA,ma,eccentricity,perimeter,per_area,symmetry
912,759984ae8db34235a06ac835b0c3a247,TA5751,1,26.8,22.3,4.5,0.721375964380889,0.6025641025641025,0.6024844720496894,0.510550783783465,0.8571699693375867,0.8682277671918871,0.6958762040343529,0.598834546859656,0.25082847141190195
913,ad200cf69e744d03af9317e89145b460,TA0477,1,16.1,22.3,6.199999999999999,0.4850701208570623,0.5256410256410257,0.6956521739130435,0.47697973067992916,0.7539255694859426,0.8798703481419409,0.6387930659923451,0.3974632249949416,0.21172879781481194
916,34caf57bee1345a8857b31c3f014b516,TA5751,1,26.8,13.5,13.3,0.7331892045262036,0.5695970695970697,0.6490683229813665,0.48367642475445505,0.902919683451817,0.85049007023658,0.6956614362820688,0.575698246630194,0.2622963045829138
918,7880a1e81b5d4a5e880914d5b6a0b5c4,TA977,0,16.8,26.8,10.0,0.46936810759230113,0.478021978021978,0.7515527950310559,0.5097228731134079,0.5085522369773732,0.9276155818054952,0.7909102333687428,0.27585241930003324,0.20636446607849104
920,90652899e0144959a20d7f514ab48a77,TA0432,0,14.3,20.4,6.099999999999998,0.42138852886827266,0.3205128205128205,0.4906832298136645,0.3685555888809492,0.321432586368413,0.9343877594350848,0.3902490338027176,0.41528369954309174,0.2673285933535879
922,1b8f96905d0c4302b6f293d124c90c26,TA0441,1,13.5,24.5,11.0,0.24501360651245502,0.09890109890109888,0.6118012422360248,0.26103440599789385,0.1776164709141128,0.941033206433014,0.1754396248951059,0.4241453408859053,0.4042162809855463
923,d8a70c3115b545b9adf81407f2d8303a,TA0477,1,16.1,26.8,10.7,0.44671501720428636,0.2765567765567766,0.48136645962732916,0.21772749574686945,0.7827126492325895,0.7547754578622619,0.46976186700292133,0.4763832011553847,0.2741825234075699
924,8b170b72a3ce4435ab95efefcd6020c0,TA5751,1,26.8,16.0,10.8,0.7171242849592552,0.5238095238095238,0.6894409937888197,0.4499169841584736,0.8914496009440378,0.8416851258822508,0.6592583996281507,0.5218938279961053,0.25657772155374464
927,5ebad12f6dc74c9e838d111269cf9e0f,CG1741,0,27.2,17.7,9.5,0.5930677298706766,0.619047619047619,0.6770186335403727,0.6760753755175698,0.14916704566228578,0.9771726622260166,0.6036916644727732,0.13486865158822448,0.22468619246861926
929,cfee0f00565547e2b162e85cff90bbac,TA977,0,16.8,16.1,0.6999999999999993,0.48826224429927706,0.5512820512820512,0.6894409937888197,0.5300799345795079,0.5402393097173992,0.9261020822751844,0.821952625637115,0.3127521855079871,0.19251286185068398
932,bbadc0be3fdc469199a1408f10df3ffc,TA5751,1,26.8,20.4,6.400000000000002,0.6862657013690205,0.7234432234432234,0.3633540372670807,0.6533764279859192,0.6124755054292961,0.9329269630594298,0.7019647179111519,0.7493321573108865,0.28886053216125523
938,9a210891903a45e79c728cb39647d42f,TA433,0,17.7,20.2,2.5,0.4855569617580367,0.4413919413919414,0.9192546583850931,0.5534662161515355,0.4049729431452813,0.9463055219989818,0.7292311666948252,0.1915082238887591,0.3025265535576057
940,6818d4b75d7942be9739a5c480d7e48e,TA5751,1,26.8,17.7,9.100000000000001,0.707948271900142,0.6062271062271062,0.5341614906832298,0.5171205463639231,0.8103580383508819,0.8791062728579221,0.6817586324001057,0.6739044964242712,0.2515106601299737
946,d925e2f4081f4a7f9fca62d7985e9a3d,TA0441,1,13.5,26.8,13.3,0.22775594495963103,0.09340659340659341,0.5869565217391304,0.25200291286623633,0.16062267179216705,0.9424779223331732,0.16147391750947604,0.41762803125687464,0.4060716642726814
950,9095d80641734632a865e46a942c8f6a,TA0432,0,14.3,16.1,1.8000000000000007,0.20031925621261476,0.1648351648351648,0.3509316770186335,0.18263421670072577,0.24912599754001852,0.9107662278596704,0.16293505100253225,0.62300811577294,0.4424601183906893
951,43b4fcb911154b24b672ef6a990f1d52,TA0441,1,13.5,16.1,2.6000000000000014,0.23035465206039946,0.09157509157509158,0.5838509316770186,0.24868005790403203,0.15551608342870127,0.9428217662829046,0.15800933663210404,0.4152206771691347,0.4031650043194848
953,85454a744d3641758fdc821d1132497b,TA0440,1,16.0,16.0,0.0,0.4227847609390523,0.5293040293040293,0.562111801242236,0.5870353652826604,0.39975339162789025,0.9501566138572456,0.6525440056256908,0.34226933202804644,0.3233090193930643
955,078c069d22b14776a5d1e9d8f0eaffb4,TA332,1,20.4,22.3,1.9000000000000021,0.6124268003935391,0.5293040293040293,0.5124223602484472,0.549114898758647,0.29324947810841284,0.9580473077066792,0.6284438037327043,0.360745262459227,0.32801200709510164
957,30add6f15e2a4623b7279b5a26935574,TA5751,1,26.8,20.4,6.400000000000002,0.7171242849592552,0.5238095238095238,0.6894409937888197,0.4499169841584736,0.8914496009440378,0.8416851258822508,0.6592583996281507,0.5218938279961053,0.25657772155374464
959,7166f1ace21b41e892bcdca9ed0068dd,TA0440,1,16.0,17.7,1.6999999999999993,0.49921387666247036,0.5201465201465202,0.5559006211180124,0.5815280193075495,0.3785610680807864,0.951923060341727,0.6318324524857677,0.34078413910602945,0.3251982993844787
962,e653a11565764a2b8cb7a3ebf5fd2c68,TA977,0,16.8,26.8,10.0,0.39706620785776364,0.4340659340659341,0.9037267080745341,0.5975272052535677,0.3686482789046467,0.9543362180000802,0.5629074669392296,0.20274432824155286,0.21040567851333367
963,9c8d85e805d24b6eb569f4d136bc58eb,TA0432,0,14.3,24.5,10.2,0.17256428227226672,0.06776556776556775,0.13354037267080743,0.08205407101827666,0.22741876541733663,0.8834014314661582,0.08879589080851646,0.8968523095078403,0.5368155919105959
964,236fec40e77a46f5a8db93786853fd0f,TA5751,1,26.8,26.6,0.1999999999999993,0.7323251920476148,0.5347985347985348,0.6739130434782608,0.45569236713855743,0.915225184782839,0.8380245832619193,0.6767646200154613,0.5540703791660967,0.26661949880964897
972,ee4ae58158364d5ca9593347d2bdde67,TA0185,0,22.8,27.7,4.899999999999999,0.5248382536019205,0.41025641025641024,0.9596273291925466,0.5870288071554669,0.2672831355346087,0.9633395282708059,0.539420116551262,0.08899970027470161,0.3010823853843502
974,5ec35b461ae04a2f9feeebf2b16c13bd,TA5751,1,26.8,22.8,4.0,0.7323251920476148,0.5347985347985348,0.6739130434782608,0.45569236713855743,0.915225184782839,0.8380245832619193,0.6767646200154613,0.5540703791660967,0.26661949880964897
976,c9d02ca7090e4f8d82d95ca263497ad8,TA0427,0,18.9,16.0,2.8999999999999986,0.48674557565604465,0.5164835164835165,0.686335403726708,0.5170909290153073,0.6118234428764764,0.9133955849846636,0.5519139014227368,0.5009383825780577,0.3554910401441585
979,f4e0a2080b9f4853ad96c0426a9dcb62,TA5870,1,25.0,22.8,2.1999999999999993,0.29226562218055424,0.04761904761904756,0.6242236024844721,0.2093625516234353,0.23815622193968933,0.9198094144521786,0.15835754550181402,0.4015936523049559,0.4349329359165425
981,f1f1aea87a4c47dc8b27297a5efd42e1,TA5751,1,26.8,22.8,4.0,0.687128592968481,0.7234432234432234,0.3633540372670807,0.6533764279859192,0.6124755054292961,0.9329269630594298,0.7019647179111519,0.7493321573108865,0.28886053216125523
987,dd6d4025a8b84405aca02dafdda54bfc,8440,1,24.0,20.4,3.6000000000000014,0.4961824356332338,0.1428571428571428,0.18944099378881984,0.18403881945883072,0.2290551692792817,0.9157497090365336,0.14818620473207467,0.8318236234908284,0.4877575457285602
993,3e7788f5868c416db1679e794b175001,TA0441,1,13.5,14.3,0.8000000000000007,0.11038138745208176,0.0,0.4627329192546583,0.12515873708875325,0.10879561264186288,0.9287740831269654,0.06884141931213672,0.4124444313966955,0.4556598102506469
999,3f4a5873fd8247bab4c7a4d7d4b9ebda,TA433,0,17.7,20.4,2.6999999999999993,0.5298225890748398,0.5036630036630035,0.9503105590062111,0.610710310227447,0.3610979815155232,0.9561644614050666,0.7745928697290871,0.18161941669013748,0.2950710505975385
1000,03f8e4cae17c4f4ab357ee7c7b2ad173,TA433,0,17.7,22.8,5.100000000000001,0.5245080862007432,0.4505494505494505,0.9254658385093166,0.5648980896122596,0.3927281731304535,0.9488354309220484,0.7308181071952147,0.20026292491734687,0.3003244130113234
1004,a83f3bbc04164b989ff64621a77a3b4e,TA433,0,17.7,27.2,9.5,0.5700353178563669,0.5402930402930403,0.6024844720496894,0.6433691489936156,0.19157791764303223,0.9727967472021336,0.5538674739240279,0.16676096183397948,0.2598037797007496
1006,79849bde9dc447e0a97fa73bbbaa495d,TA5863,0,27.7,16.0,11.7,0.358747216731566,0.3076923076923077,0.22360248447204967,0.25467196485774657,0.32135282203207194,0.9127701211328896,0.2346672855489481,0.8208288115606225,0.5012357556355433
